က	ka̰
ဈာန်	zàn
ဈာပန	zàpəna̰
ဈေး	zé
ဈေးကြီး	zétɕí
ဈေးကွက်စီးပွားရေး	zégwɛʔsíbwájé
ဈေးချို	zétɕʰò
ဈေးဆိုင်	zésʰàɪɴ
ဈေးဆိုင်	zézàɪɴ
ဈေးနှုန်း	zén̥óʊɴ
ဈေးဝယ်	zéwɛ̀
ဈေးဝယ်စင်တာ	zéwɛ̀sɪ̀ɴtà
ဈေးသည်	zéðɛ̀
ဉ	ɲa̰
ဉာဉ်	ɲɪ̀ɴ
ဉာဏလုပ်သား	ɲàna̰loʊʔðá
ဉာဏ်	ɲàn
ဉာဏ်စမ်း	ɲànsáɴ
ဉာဏ်တော်	ɲàɴdɔ̀
ဉာဏ်ပူဇော်ခ	ɲànpùzɔ̀kʰa̰
ဉာဏ်သစ်အရေးတော်ပုံ	ɲàɴθɪʔʔəjédɔ̀bòʊɴ
ဉာတိ	ɲàtḭ
ည	ɲa̰
ညကလေး	ɲa̰kəlé
ညကြီး	ɲa̰tɕí
ညချမ်း	ɲa̰dʑáɴ
ညစာ	ɲa̰zà
ညစ်	ɲɪʔ
ညစ်ထည်း	ɲɪʔtʰé
ညဈေး	ɲa̰zé
ညဉ့်	ɲɪ̰ɴ
ညဉ့်ဦးယံ	ɲɪ̰ɴʔújàɴ
ညည်း	ɲí
ညနေ	ɲa̰nè
ညနေခင်း	ɲa̰nègɪ́ɴ
ညလေး	ɲa̰lé
ညသန်းခေါင်	ɲa̰ðəgàʊɴ
ညအိပ်ဝတ်စုံ	ɲa̰ʔeɪʔwʊʔsòʊɴ
ညာ	ɲà
ညိ	ɲḭ
ညို	ɲò
ညီ	ɲì
ညီနောင်	ɲìnàʊɴ
ညီမ	ɲìma̰
ညီမျှခြင်း	ɲìm̥ja̰dʑɪ́ɴ
ညီလာခံ	ɲìlàgàɴ
ညီအစ်ကို	ɲìʔəkò
ညီအစ်မ	ɲìʔəma̰
ညောင်	ɲàʊɴ
ညောင်ဖြူ	ɲàʊɴbjù
ညောင်ဗောဓိ	ɲàʊɴbɔ́dḭ
ညောင်ရမ်းတိုင်	ɲàʊɴjáɴdàɪɴ
ညောင်လေးပင်	ɲàʊɴlépɪ̀ɴ
ညောင်းကျရောဂါ	ɲáʊɴtɕa̰jɔ́gà
ညေး	ɲé
ညဲ	ɲɛ́
ညံစာစာ	ɲàɴsàzà
ညွန့်	ɲʊ̰ɴ
ညွန့်ပေါင်း	ɲʊ̰ɴbáʊɴ
ညွှန်	ɲ̊ʊ̀ɴ
ညှင်း	ɲ̊ɪ́ɴ
ညှစ်	ɲ̊ɪʔ
ညှပ်	ɲ̊aʔ
ညှာ	ɲ̊à
ဋ	ta̰
ဋသန်လျင်းချိတ်	ta̰θəjɪ́ɴdʑeɪʔ
ဌ	tʰa̰
ဌဝမ်းဘဲ	tʰa̰wʊ́ɴbɛ́
ဌာန	tʰàna̰
ဌာနေ	tʰànè
ဌာပနာ	tʰàpənà
ဌေး	tʰé
ဍ	da̰
ဍရင်ကောက်	da̰jɪ̀ɴgaʊʔ
ဎ	da̰
ဎရေမှုတ်	da̰jèm̥oʊʔ
ဏ	na̰
ဏကြီး	na̰dʑí
တ	ta̰
တ	tə
တကယ်	dəgɛ̀
တကာ	dəgà
တက္ကစီ	tɛʔkəsì
တက္ကဗေဒ	tɛʔka̰bèda̰
တက္ကသိုလ်	tɛʔkəθò
တက်	tɛʔ
တက်တက်မ	tɛʔtɛʔma̰
တကွ	dəgwa̰
တချို့	tətɕʰo̰
တခြား	tətɕʰá
တင့်ကား	tɪ̰ɴká
တင်	tɪ̀ɴ
တင်ကူး	tɪ̀ɴgú
တင်ဒါ	tɪ̀ɴdà
တင်ပါ့ဘုရား	tɪ̀ɴba̰pʰəjá
တင်းတင်း	tɪ́ɴtɪ́ɴ
တင်းထိမ်	tɪ́ɴdèɪɴ
တင်းနစ်	tɪ́ɴnɪʔ
တစပြင်	dəza̰bjɪ̀ɴ
တစောင်း	dəzáʊɴ
တစ္ဆေ	təsʰè
တစ်	tɪʔ
တစ်ခုခု	təkʰṵkʰṵ
တစ်ခုလပ်	təkʰṵlaʔ
တစ်ချောင်းပုဒ်	tətɕʰáʊɴpoʊʔ
တစ်စုံ	dəzòʊɴ
တစ်စုံတစ်ခု	təzòʊɴtəkʰṵ
တစ်စုံတစ်ယောက်	təzòʊɴtəjaʊʔ
တစ်စုံတစ်ရာ	təzòʊɴtəjà
တစ်စုံတစ်ဦး	təzòʊɴtəʔú
တစ်ဆယ်	təzɛ̀
တစ်ထောင်	tətʰàʊɴ
တစ်ပင်တိုင်မင်းသမီး	dəbɪ̀ɴdàɪɴmɪ́ɴðəmí
တစ်ပတ်	dəbaʔ
တစ်ယောက်ယောက်	təjaʊʔjaʊʔ
တစ်ရာ	təjà
တစ်လ	təla̰
တဆယ်	təzɛ̀
တဆေး	təsʰé
တညင်း	dəɲɪ́ɴ
တညင်းသီး	dəɲɪ́ɴðí
တည်	tì
တည်	tɛ̀
တည်ဆောက်	tìsʰaʊʔ
တည်တံ့	tìda̰ɴ
တည်ထောင်	tìdàʊɴ
တည်လည်	tìlì
တည်း	tʰɛ́
တည်းခိုခန်း	tʰɛ́kʰògáɴ
တဏှင်္ကရာ	tən̥ɪ̀ɴkəɹà
တဏှင်္ကရာဘုရား	tən̥ɪ̀ɴkəɹàpʰəjá
တဏှာ	tən̥à
တတိယ	ta̰tḭja̰
တတ်	daʔ
တတ်	taʔ
တတ်	ɴ
တတ်	ʔ
တန	ta̰na̰
တနင်္ဂနွေ	tənɪ̀ɴgənwè
တနင်္လာ	tənɪ́ɴlà
တနင်္သာရီ	tənɪ̀ɴθàjì
တန်	tàɴ
တန်ခိုးရှင်	tàɴkʰóʃɪ̀ɴ
တန်ခူး	dəgú
တန်ဆောင်	dəzàʊɴ
တန်ဆောင်မုန်း	dəzàʊɴmóʊɴ
တန်ဇေးနီးယား	tàɴzéníjá
တန်း	táɴ
တပည့်တော်	dəbḭdɔ̀
တပည့်တော်မ	dəbḭdɔ̀ma̰
တပို့တွဲ	dəbo̰dwɛ́
တပေါင်း	dəbáʊɴ
တပေါင်းလပြည့်နေ့	dəbáʊɴla̰pjḭnḛ
တပ်	taʔ
တပ်ကြပ်	taʔtɕaʔ
တပ်ကြပ်ကြီး	taʔtɕaʔtɕí
တပ်ခွဲတပ်ကြပ်ကြီး	taʔkʰwɛ́taʔtɕaʔtɕí
တပ်စု	taʔsṵ
တပ်ပြေး	taʔpjé
တပ်မတော်	taʔmədɔ̀
တပ်မတော်နေ့	taʔmədɔ̀nḛ
တပ်မဟာ	taʔməhà
တပ်ရင်း	taʔjɪ́ɴ
တပ်သား	taʔθá
တဘက်	dəbɛʔ
တဘီလစ်ဆီ	təbìlɪʔsʰì
တမန်	təmàɴ
တမန်တော်	təmàɴdɔ̀
တမလန်း	təməláɴ
တမ်း	táɴ
တယော	təjɔ́
တယ်	tɛ̀
တယ်လင်း	tɛ̀lɪ́ɴ
တယ်လီဖုန်း	tɛ̀lìpʰóʊɴ
တယ်လီဗီးရှင်း	tɛ̀lìbíʃɪ́ɴ
တရဖျား	ta̰ja̰pʰjá
တရား	təjá
တရားခံ	təjəkʰàɴ
တရားခွင်	təjəkʰwɪ̀ɴ
တရားစွဲ	təjáswɛ́
တရားရုံး	təjájóʊɴ
တရားလို	təjálò
တရားလွှတ်တော်	təjál̥ʊʔtɔ̀
တရားလွှတ်တော်ချုပ်	təjál̥ʊʔtɔ̀dʑoʊʔ
တရားသူကြီး	təjáðùdʑí
တရုတ်	təjoʊʔ
တရုတ်ကတ်	təjoʊʔkaʔ
တရုတ်စံကား	ta̰joʊʔsàɴká
တရုတ်ဆီးသီး	təjoʊʔzíθí
တရုတ်နံနံ	ta̰joʊʔnàɴnàɴ
တရုတ်နှင်းသီး	ta̰joʊʔn̥ɪ́ɴθí
တရုတ်မဆလာ	təjoʊʔməsʰəlà
တရှကင့်	ta̰ʃəkɪ̰ɴ
တလည်း	təlé
တလိုင်း	təláɪɴ
တလွဲ	təlwɛ́
တာ	tà
တာချီလိတ်	tàtɕʰìleɪʔ
တာဂျစ်ကစ္စတန်	tàdʑɪʔkɪʔsətàɴ
တာတား	tàtá
တာမွေ	tàmwè
တာယာ	tàjà
တာရာ	tàjà
တာလုဇ	tàlṵza̰
တာဝတိံသာ	tàwa̰tèɪɴθà
တာဝန်	tàwʊ̀ɴ
တာဝန်ခံအဖွဲ့	tàwʊ̀ɴkʰàɴʔəpʰwɛ̰
တာ့ခ်မင်နစ္စတန်	ta̰kʰmɪ̀ɴnɪʔsətàɴ
တား	tá
တိ	tḭ
တိတ်	teɪʔ
တိန်းညက်	téɪɴɲɛʔ
တိပိဋက	tḭpḭtəka̰
တိပ်ခွေ	teɪʔkʰwè
တိမ်	tèɪɴ
တိရစ္ဆာန်	təɹeɪʔsʰàɴ
တိရစ္ဆာန်ရုံ	təɹeɪʔsʰàɴjòʊɴ
တို	tò
တိုက်	taɪʔ
တိုက်ခန်း	taɪʔkʰáɴ
တိုက်ပုံ	taɪʔpòʊɴ
တိုက်ပွဲ	taɪʔpwɛ́
တိုက်လေယာဉ်	taɪʔlèjɪ̀ɴ
တိုက်အိမ်	taɪʔʔèɪɴ
တိုကျို	tòtɕò
တိုဂို	tògò
တိုင်	tàɪɴ
တိုင်ကီ	tàɪɴkì
တိုင်ပင်	tàɪɴbɪ̀ɴ
တိုင်ဖွန်း	tàɪɴpʰʊ́ɴ
တိုင်း	táɪɴ
တိုင်းဒေသကြီး	táɪɴdèθa̰dʑí
တိုင်းပြည်	táɪɴpjì
တိုင်းမင်းကြီး	táɪɴmɪ́ɴdʑí
တိုင်းရင်းသား	táɪɴjɪ́ɴðá
တိုဖူး	tòpʰú
တိုရ	tòɹa̰
တိုရှေ	tòʃè
တိုဟူး	tòhú
တိုဟူးနွေး	tòhúnwé
တိုဟူးသုပ်	tòhúθoʊʔ
တို့	do̰
တိုး	tó
တိုးတက်	tótɛʔ
တိုးတက်ခြင်း	tótɛʔdʑɪ̀ɴ
တိုးတက်ရေး	tótɛʔjé
တိုးတိုး	tódó
တိုးနရား	tónəjá
တိဿ	teɪʔθa̰
တိဿဘုရား	teɪʔθa̰pʰəjá
တီ	tì
တီကောင်	tìgàʊɴ
တီကေ့	tìkḛ
တီချယ်	tìtɕʰɛ̀
တီထွင်	tìtʰwɪ̀ɴ
တီထွင်မှု	tìtʰwɪ̀ɴm̥ṵ
တီဗီ	tìbì
တီရာနာ	tìɹànà
တီရှပ်	tìʃaʔ
တီဟီရန်	tìhìɹàɴ
တီး	tí
တီးတိုးပြော	tídópjɔ́
တုတ်	doʊʔ
တုတ်ထိုး	doʊʔtʰó
တုတ်မီး	doʊʔmí
တုသိတာ	toʊʔθḭtà
တုံး	tóʊɴ
တူ	tù
တူညီဝတ်စုံ	tùɲìwʊʔsòʊɴ
တူနစ်စ်	tùnɪʔs
တူနီးရှား	tùníʃá
တူမ	tùma̰
တူရကီ	tùɹəkì
တူရိယာ	tùɹḭjà
တူး	tú
တူးမြောင်း	túmjáʊɴ
တူးရစ်	túɹɪʔ
တေဇော	tèzɔ́
တေသံ	tèðàɴ
တော	tɔ́
တောက်တောက်ကြော်	taʊʔtaʊʔtɕɔ̀
တောက်တဲ့	taʊʔtɛ̰
တောက်ပ	taʊʔpa̰
တောကြက်မောက်	tɔ́tɕɛʔmaʊʔ
တောခွေး	tɔ́gwé
တောင်	tàʊɴ
တောင်ကိုရီးယား	tàʊɴkòɹíjá
တောင်ကြား	tàʊɴdʑá
တောင်ကြီး	tàʊɴdʑí
တောင်ခြင်္သေ့	tàʊɴtɕʰɪ̀ɴθḛ
တောင်ငူ	tàʊɴŋù
တောင်ဆူဒန်	tàʊɴsʰùdàɴ
တောင်ပိုင်းသမုဒ္ဒရာ	tàʊɴbáɪɴθəmoʊʔdəjà
တောင်ပံ	tàʊɴbàɴ
တောင်ဖက်ဝန်း	tàʊɴpʰɛʔwʊ́ɴ
တောင်သူ	tàʊɴðù
တောင်သူလယ်သမား	tàʊɴðùlɛ̀ðəmá
တောင်သူလယ်သမားနေ့	tàʊɴðùlɛ̀θəmánḛ
တောင်အမေရိက	tàʊɴʔəmèɹḭka̰
တောင်အာဖရိက	tàʊɴʔàpʰəɹḭka̰
တောင်အာရှ	tàʊɴʔàʃa̰
တောင်း	táʊɴ
တောင်းပန်	táʊɴbàɴ
တောမန်ကျည်း	tɔ́mədʑí
တောသား	tɔ́ðá
တောသီတင်း	tɔ́θìdɪ́ɴ
တော်	tɔ̀
တော်ပြီ	tɔ̀bì
တော်လေးဝ	tɔ̀léwa̰
တော်လှန်	tɔ̀l̥àɴ
တော်လှန်ရေး	tɔ̀l̥àɴjé
တော်လှန်ရေးသမား	tɔ̀l̥àɴjéðəmá
တော်သလင်း	tɔ̀ðəlɪ́ɴ
တေး	té
တေးစီးရီး	tésíɹí
တေးသံရှင်	téθàɴʃɪ̀ɴ
တေးသွား	téðwá
တဲ	tɛ́
တဲ့	dɛ̰
တံ	tàɴ
တံခါး	dəgá
တံခါးခုံ	dəgəkʰòʊɴ
တံခါးဗိုလ်	dəgábò
တံခွန်	dəgʊ̀ɴ
တံခွန်တိုင်	dəgʊ̀ɴdàɪɴ
တံငါ	təŋà
တံငါတာရာ	tàɴŋàtàjà
တံစဉ်	dəzɪ̀ɴ
တံစဉ်း	dəzɪ́ɴ
တံဆိပ်	dəzeɪʔ
တံဆိပ်ခေါင်း	dəzeɪʔgáʊɴ
တံတား	dədá
တံတိုင်း	dədáɪɴ
တံတောင်	dədàʊɴ
တံပိုး	dəbó
တံပူ	dəbù
တံမြက်စည်း	dəbjɛʔsí
တံ့တံ့	ta̰ɴda̰ɴ
တြိ	təɹḭ
တြိဂံ	tɹḭgàɴ
တြိပူရ	təɹḭpùja̰
တွက်	twɛʔ
တွင်	twɪ̀ɴ
တွင်း	twɪ́ɴ
တွတ်	tʊʔ
တွန်း	tʊ́ɴ
တွပ်	tʊʔ
တွေ	dwè
တွေ့	twḛ
တွေး	twé
ထ	tʰa̰
ထက်	tʰɛʔ
ထက်ဝယ်ဖွဲ့ခွေ	tʰɛʔwɛ̀pʰwɛ̰kʰwè
ထင်	tʰɪ̀ɴ
ထင်စား	tʰɪ̀ɴzá
ထင်း	tʰɪ́ɴ
ထဆင်ထူး	tʰa̰sʰɪ̀ɴdú
ထည်	tʰɛ̀
ထနောင်း	tʰənáʊɴ
ထန်း	tʰáɴ
ထန်းပင်မြစ်	tʰáɴpɪ̀ɴmjɪʔ
ထန်းလျက်	tʰəɲɛʔ
ထပ်	tʰaʔ
ထပ်တစ်ရာ	tʰaʔtəjà
ထဘီ	tʰəmì
ထမင်း	tʰəmɪ́ɴ
ထမင်းကြော်	tʰəmɪ́ɴdʑɔ̀
ထမင်းချဉ်	tʰəmɪ́ɴdʑɪ̀ɴ
ထမင်းချိုး	tʰəmɪ́ɴdʑó
ထမင်းဆိုင်	tʰəmɪ́ɴzàɪɴ
ထမင်းသုပ်	tʰa̰mɪ́ɴθoʊʔ
ထမနဲ	tʰa̰ma̰nɛ́
ထမ်း	tʰáɴ
ထမ်းစင်	tʰáɴzɪ̀ɴ
ထမ်းပိုး	tʰáɴpó
ထယ်	tʰɛ̀
ထရီလီယံ	tʰəɹìlìjàɴ
ထာဝရ	tʰàwəja̰
ထာဝရဘုရား	tʰàwəɹəpʰəjá
ထာဝရဥစ္စာ	tʰàwəja̰ʔoʊʔsà
ထား	tʰá
ထားဝယ်	dəwɛ̀
ထိ	tʰḭ
ထိကပေါက်	tʰḭgəbaʊʔ
ထိန်းသိမ်း	tʰéɪɴθéɪɴ
ထိပ်	tʰeɪʔ
ထိပ်ခေါင်တင်	tʰeɪʔkʰàʊɴtɪ̀ɴ
ထိပ်စုဖုရား	tʰeɪʔsṵpʰəjá
ထိပ်ပေါက်	tʰeɪʔpaʊʔ
ထိပ်သီးညီလာခံ	tʰeɪʔθíɲìlàgàɴ
ထိမ်	tʰèɪɴ
ထိမ်းမြား	tʰéɪɴmjá
ထို	tʰò
ထိုင်	tʰàɪɴ
ထိုင်ခုံ	tʰàɪɴgòʊɴ
ထိုင်ပေ	tʰàɪɴpè
ထိုင်မသိမ်း	tʰàɪɴməθéɪɴ
ထိုင်ဝမ်	tʰàɪɴwàɴ
ထိုင်း	tʰáɪɴ
ထိုမှာ	tʰòm̥à
ထိုး	tʰó
ထိုးကွင်း	tʰógwɪ́ɴ
ထိုးမုန့်	tʰómo̰ʊɴ
ထီ	tʰì
ထီလာ	tʰìlà
ထီလာသား	tʰìlàθá
ထီး	tʰí
ထီးကြီးသုပ်	tʰídʑíθoʊʔ
ထီးတင်	tʰítɪ̀ɴ
ထီးဖြူ	tʰíbjù
ထု	tʰṵ
ထုတ်ကုန်	tʰoʊʔkòʊɴ
ထုတ်လုပ်	tʰoʊʔloʊʔ
ထုတ်လုပ်မှု	tʰoʊʔloʊʔm̥ṵ
ထုတ်ဝေသူ	tʰoʊʔwèðù
ထုံး	tʰóʊɴ
ထုံးကျောက်	tʰóʊɴdʑaʊʔ
ထုံးစံ	tʰóʊɴzàɴ
ထူ	tʰù
ထူထဲ	tʰùdɛ́
ထူပါ	tʰùpà
ထူး	tʰú
ထေရဝါဒ	tʰèja̰wàda̰
ထေရီ	tʰèjì
ထေရ်	tʰè
ထော	tʰɔ́
ထောက်	tʰaʊʔ
ထောက်ကြံ့	tʰaʊʔtɕa̰ɴ
ထောက်ခံ	tʰaʊʔkʰàɴ
ထောက်ပံ့	tʰaʊʔpa̰ɴ
ထောင့်	da̰ʊɴ
ထောင်	tʰàʊɴ
ထောင်ကဲ	tʰàʊɴkɛ́
ထောင်စုနှစ်	tʰàʊɴzṵn̥ɪʔ
ထောင်မှူး	tʰàʊɴm̥ú
ထောင်သား	tʰàʊɴðá
ထောပတ်	tʰɔ́baʔ
ထောပတ်ထမင်း	tʰɔ́baʔtʰəmɪ́ɴ
ထောပတ်သီး	tʰɔ́paʔθí
ထော်လာဂျီ	tʰɔ̀làdʑì
ထဲ	tʰɛ́
ထံ	tʰàɴ
ထွက်	tʰwɛʔ
ထွက်ကုန်	tʰwɛʔkòʊɴ
ထွက်ပေါက်	tʰwɛʔpaʊʔ
ထွက်ပြေး	tʰwɛʔpjé
ထွန်	tʰʊ̀ɴ
ထွန်ခြစ်	tʰʊ̀ɴdʑɪʔ
ထွန်စက်	tʰʊ̀ɴzɛʔ
ထွန်း	tʰʊ́ɴ
ထွေး	tʰwé
ဒ	da̰
ဒကာ	dəgà
ဒကာမ	dəgàma̰
ဒက္ခိဏ	dɛʔkʰḭna̰
ဒဂုံ	dəgòʊɴ
ဒင်္ဂါး	dɪ̀ɴgá
ဒင်္ဂါးတိုက်	dɪ̀ɴgádaɪʔ
ဒစ္စကို	dɪʔsəkò
ဒဏ္ဍာရီ	dàndàjì
ဒဏ်	dàɴ
ဒဏ်ငွေ	dàɴŋwè
ဒဏ်ရာ	dàɴjà
ဒထွေး	da̰dwé
ဒန့်သလွန်	da̰ɴðəlʊ̀ɴ
ဒန်ပူ	dəbù
ဒန်း	dáɴ
ဒပ်ဗလင်	daʔbəlɪ̀ɴ
ဒဗ္ဗလျူ	dàbba̰jù
ဒမားစကပ်	da̰másəkaʔ
ဒရာမာ	dəɹàmà
ဒလန်	dəlàɴ
ဒသဂံ	dəθəgàɴ
ဒသပါရမီ	dəθa̰pàɹəmì
ဒသမ	da̰θəma̰
ဒါ	dà
ဒါဇင်	dàzɪ̀ɴ
ဒါန	dàna̰
ဒါပါပဲ	dàbàbɛ́
ဒါပေမဲ့	dàbèmɛ̰
ဒါပော့	dàpɔ̰
ဒါမှမဟုတ်	dàm̥a̰məhoʊʔ
ဒါယကာ	dàjəkà
ဒါယိကာ	dàjəkà
ဒါလီ	dàlì
ဒိန်ခဲ	dèɪɴgɛ́
ဒိန်ချဉ်	dèɪɴdʑɪ̀ɴ
ဒိန်ချဉ်ခဲ	dèɪɴdʑɪ̀ɴgɛ́
ဒိန်းမတ်	déɪɴmaʔ
ဒိုင်ခွက်	dàɪɴgwɛʔ
ဒိုင်နိုဆော	dàɪɴnòsʰɔ́
ဒိုင်ယာနာ	dàɪɴjànà
ဒိုင်ယာရီ	dàɪɴjəɹì
ဒိုဘီ	dòbì
ဒိုဟာ	dòhà
ဒီ	dì
ဒီဂရီ	dìgəɹì
ဒီဃ	dìga̰
ဒီဇင်ဘာ	dìzɪ̀ɴbà
ဒီဇိုင်နာ	dìzàɪɴnà
ဒီဇိုင်း	dìzáɪɴ
ဒီည	dìɲa̰
ဒီနေ့	dìnḛ
ဒီပင်္ကရာ	dìpɪ̀ɴkəɹà
ဒီပင်္ကရာဘုရား	dìpɪ̀ɴkəɹàpʰəjá
ဒီပလိုမာ	dìpəlòmà
ဒီပါ	dìpà
ဒီပါဝလီ	dìpàwəlì
ဒီဗီဒီ	dìbìdì
ဒီမိုကရေစီ	dìmòkəɹèsì
ဒီမှာ	dìm̥à
ဒီလို	dìlò
ဒီဟာ	dìhà
ဒု	dṵ
ဒုက္ခ	doʊʔkʰa̰
ဒုက္ခသည်	doʊʔkʰa̰ðè
ဒုက္ခိတ	doʊʔkʰḭta̰
ဒုဂ္ဂတိ	doʊʔgədḭ
ဒုတိယ	dṵtḭja̰
ဒုတိယကမ္ဘာစစ်	dṵtḭja̰gəbàsɪʔ
ဒုတိယတပ်ကြပ်	dṵtḭja̰taʔtɕaʔ
ဒုတိယဗိုလ်	dṵtḭja̰bò
ဒုတိယဗိုလ်ချုပ်ကြီး	dṵtḭja̰bòdʑoʊʔdʑí
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	dṵtḭja̰bòdʑoʊʔm̥údʑí
ဒုတိယဗိုလ်မှူးကြီး	dṵtḭja̰bòm̥údʑí
ဒုတိယအရာခံဗိုလ်	dṵtḭja̰ʔəjàgàɴbò
ဒုဗ္ဘိက္ခန္တရကပ်	doʊʔbeɪʔkʰàɴtəɹa̰kaʔ
ဒုယင်တော်	dəjɪ̀ɴdɔ̀
ဒုံမင်း	dòʊɴmɪ́ɴ
ဒုံး	dóʊɴ
ဒုံးပျံ	dóʊɴbjàɴ
ဒူရှန်ဘဲ	dùʃàɴbɛ́
ဒူလာ	dùlà
ဒူဝါ	dùwà
ဒူး	dú
ဒူးခေါင်း	dúgáʊɴ
ဒူးထောက်	dútʰaʊʔ
ဒူးရင်းယို	dújɪ́ɴjò
ဒူးရင်းသီး	dújɪ́ɴθí
ဒူးလေး	dúlé
ဒူးဝါး	dúwá
ဒေတာဘေ့စ်	dètàbḛs
ဒေဝ	dèwa̰
ဒေဝဒတ်	dèwədaʔ
ဒေဝနာဂရီ	dèwa̰nàgəɹì
ဒေဝါလီခံ	dèwàlìkʰàɴ
ဒေဝီ	dèwì
ဒေသ	dèθa̰
ဒေသန္တရ	dèθàɴtəja̰
ဒေသန္တရစကား	dèθàɴtəɹa̰zəgá
ဒေသိယစကား	dèθḭja̰zəgá
ဒေါ	dɔ́
ဒေါက်တာ	daʊʔtà
ဒေါင်း	dáʊɴ
ဒေါင်းလန်း	dáʊɴláɴ
ဒေါသ	dɔ́θa̰
ဒေါ်	dɔ̀
ဒေါ်ကြီး	dɔ̀dʑí
ဒေါ်စိန်အေး	dɔ̀sèɪɴʔé
ဒေါ်လာ	dɔ̀là
ဒေါ်လေး	dɔ̀lé
ဒံပေါက်	dàɴpaʊʔ
ဒြပ်	dɹaʔ
ဒြပ်စင်	dəɹaʔsɪ̀ɴ
ဒြပ်ထု	dəɹaʔtʰù
ဒွယံဒွယံ	dwa̰jàɴdwa̰jàɴ
ဒွါဒသမ	dwàda̰θəma̰
ဒွာရ	dwàja̰
ဒွိ	dwḭ
ဒွိလိင်	dwḭlèɪɴ
ဒွေးဘော်	dwébɔ̀
ဒဿဂီရိ	dəθa̰gìjḭ
ဒဿနဗေဒ	da̰θəna̰bèda̰
ဒဿနိကဗေဒ	da̰θənḭka̰bèda̰
ဓ	da̰
ဓနရှင်	dəna̰ʃɪ̀ɴ
ဓနိတ	dənḭta̰
ဓနု	dənṵ
ဓမ္မ	dəma̰
ဓမ္မတာ	dəmədà
ဓမ္မတာကာလ	dəmədàkàla̰
ဓမ္မတာလာ	dəmədàlà
ဓမ္မတာဝန်	dəmədàwʊ̀ɴ
ဓမ္မဒဿီ	dəma̰ma̰daʔθì
ဓမ္မဒဿီဘုရား	dəma̰dətθìpʰəjá
ဓမ္မပါလ	dàɴma̰pàla̰
ဓမ္မသတ်	dəməθaʔ
ဓလေ့	dəlḛ
ဓအောက်ခြိုက်	da̰ʔaʊʔtɕʰaɪʔ
ဓာတုဗေဒ	dàtṵbèda̰
ဓာတ်	daʔ
ဓာတ်ကြီးလေးပါး	dàttɕílépá
ဓာတ်ခဲ	daʔkʰé
ဓာတ်ခွက်	dàtkʰwɛʔ
ဓာတ်ခွဲခန်း	daʔkʰwɛ́gáɴ
ဓာတ်ငွေ့	daʔŋwḛ
ဓာတ်စက်	daʔsɛʔ
ဓာတ်ဆီ	daʔsʰì
ဓာတ်ဆီဆိုင်	daʔsʰìzàɪɴ
ဓာတ်ပုံ	daʔpòʊɴ
ဓာတ်ပြား	daʔpjà
ဓာတ်မီးခြစ်	daʔmídʑɪʔ
ဓာတ်မီးပူ	daʔmíbù
ဓာတ်မှန်	dàtm̥àɴ
ဓာတ်လှေကား	daʔl̥ègá
ဓာတ်သွား	dàtθwá
ဓာတ်အား	dàtʔá
ဓာတ်အားပေးစက်ရုံ	dàtʔábésɛʔjòʊɴ
ဓာတ်အိုး	daʔʔó
ဓား	dá
ဓားစာခံ	dəzàgàɴ
ဓားပြ	dəmja̰
ဓားပြား	dəbjá
ဓားမြှောင်	dəm̥jàʊɴ
ဓားအိမ်	dəʔèɪɴ
န	na̰
နက္ခတ္တဗေဒ	nɛʔkʰəta̰bèda̰
နက္ခတ်	nɛʔkʰaʔ
နက္ခတ်တာရာပြခန်း	nɛʔkʰaʔtàjàpja̰kʰáɴ
နက္ခတ်မျှော်စင်	nɛʔkʰaʔm̥jɔ̀zɪ̀ɴ
နက်	nɛʔ
နက်ပကျွန်း	nɛʔpətɕʊ́ɴ
နက်ဖြန်	nɛʔpʰjàɴ
နက်ဗျူလာ	nɛʔbjùlà
နကျယ်ကောင်	nədʑɛ̀gàʊɴ
နဂါး	nəgá
နဂါးကျစ်	nəgádʑɪʔ
နဂါးငွေ့တန်း	na̰gáŋwḛtáɴ
နဂါးမောက်	na̰gámaʊʔ
နဂါးမောက်သီး	na̰gámaʊʔθí
နဂါးလှည့်	nəgál̥ḭ
နငယ်	na̰ŋɛ̀
နင်	nɪ̀ɴ
နင်တို့	nɪ̀ɴdo̰
နင်း	nɪ́ɴ
နစ်	nɪʔ
နည်း	ní
နည်းနည်း	nɛ́nɛ́
နည်းနည်းချင်း	nínítɕʰɪ́ɴ
နည်းနယ	nínəja̰
နည်းပညာ	nípjɪ̀ɴɲà
နည်းလမ်း	níláɴ
နတ်	naʔ
နတ်ကွန်း	naʔkʊ́ɴ
နတ်ဆိုး	naʔsʰó
နတ်တော်	nədɔ̀
နတ်နန်း	naʔnáɴ
နတ်နိုးလ	naʔnóla̰
နတ်ပြည်ခြောက်ထပ်	naʔpjìtɕʰaʊʔtʰaʔ
နတ်ပြည်စံ	naʔpjìsàɴ
နတ်ရွာစံ	naʔjwàsàɴ
နတ်လျောင်းလ	naʔjáʊɴla̰
နတ်သုဓာ	naʔθoʊʔdà
နတ်သုဓာထမင်း	naʔθoʊʔdàtʰəmɪ́ɴ
နဒီ	nədì
နန္ဒာ	nàɴdà
နန်း	náɴ
နန်းကထိ	náɴkətʰḭ
နန်းကြီး	náɴtɕí
