+	tasɯ
セントラル・ドグマ	seɴtoɾaɾɯ dogɯma
セントラル・パーク	seɴtoɾaɾɯ paːkɯ
セントラル・ヒーティング	seɴtoɾaɾɯ çiːteiɴgɯ
セントラル・プロセシング・ユニット	seɴtoɾaɾɯ pɯɾoseɕiɴgɯ jɯnitːo
セントラル・リーグ	seɴtoɾaɾɯ ɾiːgɯ
セントルイス	sentɾus
セントルシア	seɴtoɾɯɕia
セントレア	seɴtoɾea
セントレア	se̞ɴto̞ɾe̞a
セントロイド	seɴtoɾoido
セントロニクス	seɴtoɾonikɯsɯ
セントロニクスインターフェース	seɴtoɾonikɯsɯiɴtaːɸɯeːsɯ
セントロニクス・インターフェース	seɴtoɾonikɯsɯ iɴtaːɸɯeːsɯ
セントロメア	sentro mea
セントローレンス	sɛɴto ɾoːɾeɴsɯ
セントーア	seɴtoːa
セントール	seɴtoːɾɯ
センド	seɴdo
センネンダイ	seɴneɴdai
センノキ	seɴnoki
センブリ	seɴbɯɾi
センプリチェ	seɴ pɯ ɾitɕe
センプリーチェ	seɴpɯɾiːtɕe
センボンシメジ	seɴboɴɕimedʑi
センボンヤリ	seɴboɴjaɾi
センマイ	seɴmai
センモウヒラムシ	seɴmoɯçiɾamɯɕi
センリョウ科	seɴɾjoɯka
センロ	sɛ̃ːɴlo
セヴンティーン	sevɯɴteiːɴ
セ・ラ・ビ	se ɾa bi
セ・ラ・ヴィ	se ɾa vi
セ・リーグ	seːɾiːg
セーの法則	seːnohoɯsokɯ
セーシェル	seːɕieɾɯ
セーシェル	seːɕiɾɯ
セーシェルガエル科	seːɕieɾɯgaeɾɯka
セージ	seidʑi
セージ	seːdʑi
セーター	seːtaː
セーター	sɛːtaː
セーハ	seːha
セーバー	seːbaː
セービング	seːbiɴgɯ
セービンワクチン	seːbiɴɰᵝakɯtɕiɴ
セービン・ワクチン	seːbiɴ ɰᵝakɯtɕiɴ
セーフ	seːɸɯ
セーフガード	seːɸɯgaːdo
セーフセックス	seːɸɯsekːɯsɯ
セーフティ	seːɸɯtei
セーフティネット	seːɸɯteinetːo
セーフティボックス	seːɸɯteibokːɯsɯ
セーフティ・ネット	seːɸɯtei netːo
セーフティ・ボックス	seːɸɯtei bokːɯsɯ
セーフティー	seːɸɯteiː
セーフティーコーン	seːɸɯteiːkoːɴ
セーフティーゾーン	seːɸɯteiːzoːɴ
セーフティードライブ	seːɸɯteiːdoɾaibɯ
セーフティーネット	seːɸɯteiːnetːo
セーフティーバルブ	seːɸɯteiːbaɾɯbɯ
セーフティーバント	saɯɸɯtiːbaɴto
セーフティーバント	seːɸɯteiːbaɴto
セーフティービンディング	seːɸɯteiːbiɴdeiɴgɯ
セーフティーファクター	seːɸɯteiːɸakɯtaː
セーフティーボックス	seːɸɯteiːbokːɯsɯ
セーフティーボックスを利用したいのですが	seːfutiːbokkusu o riɪoː ɕitai nodesuga
セーフティー・コーン	seːɸɯteiː koːɴ
セーフティー・ゾーン	seːɸɯteiː zoːɴ
セーフティー・ドライブ	seːɸɯteiː doɾaibɯ
セーフティー・ネット	seːɸɯteiː netːo
セーフティー・バルブ	seːɸɯteiː baɾɯbɯ
セーフティー・バント	seːɸɯteiː baɴto
セーフティー・ビンディング	seːɸɯteiː biɴdeiɴgɯ
セーフティー・ファクター	seːɸɯteiː ɸakɯtaː
セーフティー・ボックス	seːɸɯteiː bokːɯsɯ
セーフライト	seːɸɯɾaito
セーフ・セックス	seːɸɯ sekːɯsɯ
セーブ	seːbɯ
セーブポイント	seːbɯpoiɴto
セーブル	seːbɯɾɯ
セーブル磁器	seːbɯɾɯdʑiki
セーブ・ポイント	seːbɯ poiɴto
セープ	seːpɯ
セーム革	seːmɯgaɰᵝa
セーラー	seːɾaː
セーラーカラー	seːɾaːkaɾaː
セーラー・カラー	seːɾaː kaɾaː
セーラー服	seːɾaːɸɯkɯ
セーリング	seːɾiɴgɯ
セーリング	sɛːɾiɴgɯ
セーリングボート	seːɾiɴgɯboːto
セーリング・ボート	seːɾiɴgɯ boːto
セール	seːɾɯ
セールがもうすぐ始まるよ。	seːɾɯgamɯsɯgɯhadʑimaɾɯjo
セールス	seːɾɯsɯ
セールスアプローチ	seːɾɯsɯapɯɾoːtɕi
セールスウーマン	seːɾɯsɯɯːmaɴ
セールスエンジニア	seːɾɯsɯeɴdʑinia
セールストーク	seːɾɯ sɯtoːkɯ
セールストーク	seːɾɯsɯtoːkɯ
セールスプロモーション	seːɾɯsɯpɯɾomoːɕoɴ
セールスマン	seːɾzɯmaɴ
セールスマン	seːɾɯsɯmaɴ
セールスマン	sɛːˈɾʊ̃ɯmaɴ
セールスレディー	seːɾɯsɯɾeddiː
セールスレディー	seːɾɯsɯɾedeiː
セールス・アプローチ	seːɾɯsɯ apɯɾoːtɕi
セールス・エンジニア	seːɾɯsɯ eɴdʑinia
セールス・トーク	seːɾɯsɯ toːkɯ
セールス・プロモーション	seːɾɯsɯ pɯɾomoːɕoɴ
セールス戦略	seːɾɯsɯseɴɾjakɯ
セ氏	seɕi
ゼ	se
ゼ	sɛ̃
ゼ	ze
ゼオライト	zeoɾaito
ゼカリヤ書	zekaɾijaɕo
ゼクト	zekɯto
ゼスイット	zesɯitːo
ゼスチャー	zesɯtɕaː
ゼスチュア	zestʃa
ゼスチュア	zesɯtɕɯa
ゼゼラ	zezeɾa
ゼタ	tsɛta
ゼタ	zeta
ゼッケン	zekːeɴ
ゼットに使役されていた	tszetto ni ɕieki sa rete ita
ゼットハチマル	zetːohatɕimaɾɯ
ゼットブイポート	zetːobɯipoːto
ゼットモデム	zetːomodemɯ
ゼット（ｚ）	zett
ゼツェシオン	zetsɯeɕioɴ
ゼツェッション	zetsɯeɕːoɴ
ゼド	zˈɛto
ゼニアオイ	zeniaoi
ゼニガタアザラシ	zenigataazaɾaɕi
ゼニガメ	senigame
ゼニガメ	zenigame
ゼニスでは	tszenisudeva
ゼニタナゴ	zenitanago
ゼネコン	zenekoɴ
ゼネスト	zenesɯto
ゼネラリスト	zeneɾaɾisɯto
ゼネラル	zeneɾaɾɯ
ゼネラル	zˈɛneɾaɾɯ
ゼネラルコントラクタ	zeneɾaɾɯkoɴtoɾakɯta
ゼネラルコントラクター	zeneɾaɾɯkoɴtoɾakɯtaː
ゼネラルスタッフ	zeneɾaɾɯsɯtaɸːɯ
ゼネラルストライキ	zeneɾaɾɯsɯtoɾaiki
ゼネラルマネジャー	zeneɾaɾɯmanedʑaː
ゼネラルマネージャー	zeneɾaɾɯmaneːdʑaː
ゼネラルマーチャンダイズストア	zeneɾaɾɯmaːtɕaɴdaizɯsɯtoa
ゼネラルユニオン	zeneɾaɾɯjɯnioɴ
ゼネラル・コントラクタ	zeneɾaɾɯ koɴtoɾakɯta
ゼネラル・コントラクター	zeneɾaɾɯ koɴtoɾakɯtaː
ゼネラル・スタッフ	zeneɾaɾɯ sɯtaɸːɯ
ゼネラル・ストライキ	zeneɾaɾɯ sɯtoɾaiki
ゼネラル・マネジャー	zeneɾaɾɯ manedʑaː
ゼネラル・マネージャー	zeneɾaɾɯ maneːdʑaː
ゼネラル・マーチャンダイズ・ストア	zeneɾaɾɯ maːtɕaɴdaizɯ sɯtoa
ゼネラル・ユニオン	zeneɾaɾɯ jɯnioɴ
ゼネレーション	zeneɾeːɕoɴ
ゼノタイム	zenotaimɯ
ゼノフォビア	zenoɸobia
ゼノブレイドクロス	zeɴnobɯɾeidkɯɾosɯ
ゼノンの逆説	zenoɴnogjakɯsetsɯ
ゼパニヤ書	zepanijaɕo
ゼファニヤ書	zeɸanijaɕo
ゼファー	zeɸaː
ゼフィルス	zeɸiɾɯsɯ
ゼブ	zebɯ
ゼブラ	zebɯɾa
ゼブラウツボ	zebɯɾaɯtsɯbo
ゼブラソマ属	zebɯɾasomazokɯ
ゼブラゾーン	zebɯɾazoːɴ
ゼブラフィッシュ	zebɯɾaɸiɕːɯ
ゼブラ・ゾーン	zebɯɾa zoːɴ
ゼブロイド	sebɯroido
ゼブロイド	zebɯɾoido
ゼブー	zebɯː
ゼプト	zepɯto
ゼプト秒	zepɯtobjoɯ
ゼミ	fɛmʁ
ゼミ	zemi
ゼミナール	zeminaːɾɯ
ゼミナール	zˈminaːɾɯ
ゼムクリップ	zemɯkɯɾipːɯ
ゼムクリップ	zmkɯiɾipːɯ
ゼム・クリップ	zemɯ kɯɾipːɯ
ゼラス	zːeɾasɯ
ゼラチン	zeɾatɕiɴ
ゼラチンペーパー	zeɾatɕiɴpeːpaː
ゼラチン・ペーパー	zeɾatɕiɴ peːpaː
ゼラニウム	zeɾaniɯmɯ
ゼリー	zeɾiː
ゼリー	zʲeɾʲiː
ゼリービーンズ	zeɾiː biːɴz
ゼリービーンズ	zeɾiːbiːɴzɯ
ゼリー・ビーンズ	zeɾiː biːɴzɯ
ゼルダの伝説	zeɾɯda ndeɴɕi
ゼルダの伝説	zeɾɯda noteɴsetsɯ
ゼロ	zeɾo
ゼロ	zɛɾɯ
ゼロ	zˈɛɾo
ゼロ	zˈɪɹoʊ
ゼロから	zeɾokaɾa
ゼロの名を口にしたことから	tszero no na o kutɕi ni ɕita koto kara
ゼロを前にして顔を赤らめるなど	tszero o mae ni ɕite kao o akarameru nado
ゼロアドレス命令	zeɾoadoɾesɯmeiɾei
ゼロエミッション	zeɾoemiɕːoɴ
ゼロカロリー	ðeɾɯkaɾoɾiː
ゼロクーポン債	zeɾokɯːpoɴsai
ゼログラフィー	zeɾogɯɾaɸiː
ゼロゲーム	zeɾogeːmɯ
ゼロコスト	zeɾokosɯto
ゼロサプレス	zeɾosapɯɾesɯ
ゼロサプレス機能	zeɾosapɯɾesɯkinoɯ
ゼロサム	zeɾosamɯ
ゼロサムゲーム	zeɾosamɯgeːmɯ
ゼロサム・ゲーム	zeɾosamɯ geːmɯ
ゼロサム社会	zeɾosamɯɕakai
ゼロゼロセブン	zeɾozeɾosebɯɴ
ゼロックス	zeɾokːɯ sɯ
ゼロックス	zeɾokːɯsɯ
ゼロハン	zeɾohaɴ
ゼロベース	zeɾobeːsɯ
ゼロメートル	zeɾomeːtoɾɯ
ゼロ・ゲーム	zeɾo geːmɯ
ゼロ・コスト	zeɾo kosɯto
ゼロ・サプレス	zeɾo sapɯɾesɯ
ゼロ・ゼロ・セブン	zeɾo zeɾo sebɯɴ
ゼロ・メートル	zeɾo meːtoɾɯ
ゼロ以外	zeɾoigai
ゼロ位法	zeɾoihoɯ
ゼロ充てん	zeɾoateɴ
ゼロ和ゲーム	zeɾoɰᵝageːmɯ
ゼロ回答	zeɾokaitoɯ
ゼロ国債	zeɾokokɯsai
ゼロ地点	zeɾotɕiteɴ
ゼロ復帰記録	zeɾoɸɯkːikiɾokɯ
ゼロ成長	zeɾoseitɕoɯ
ゼロ戦	zeɾoseɴ
ゼロ抑制	zeɾojokɯsei
ゼロ抑制機能	zeɾojokɯseikinoɯ
ゼロ次	zeɾodʑi
ゼロ歳	zeɾosai
ゼロ番目	zeɾobaɴme
ゼロ空間	zeɾokɯɯkaɴ
ゼロ行列	zeɾogjoɯɾetsɯ
ゼンショー	zeɴɕoɯ
ゼンスト	zeɴsɯto
ゼンテイカ	zeɴteːikka
ゼントルマン	zeɴtoɾɯmaɴ
ゼンマイ	zeɴmai
ゼーゼー	zeːzeː
ゼーゼー言う	zeːzeːiɯ
ゼーマン効果	zeːmaɴkoɯka
ソ	sa
ソ	so
ソ	sɯ
ソ	sˈoː
ソアラ	soaɾa
ソアラー	soaɾaː
ソアリング	soaɾiɴgɯ
ソアヴェ	so avˈe
ソイソース	soisoːsɯ
ソイルセメント	soiɾɯsemeɴto
ソイル・セメント	soiɾɯ semeɴto
ソウギョ	soɯgjo
ソウゲンライチョウ	soɯgeɴɾaitɕoɯ
ソウシハギ	soɯɕihagi
ソウダガツオ	soɯdagatsɯo
ソウダガツオ属	soɯdagatsɯozokɯ
ソウハクヒ	soɯhakɯçi
ソウメンカボチャ	soɯmeɴkabotɕa
ソウル	soɯɾɯ
ソウルジャズ	soɯɾɯdʑazɯ
ソウルフル	soɯɾɯɸɯɾɯ
ソウルフード	soɯɾɯɸɯːdo
ソウルフード	soːɾɯɸɯːd
ソウルミュージック	soɯɾɯmjɯːdʑikːɯ
ソウル・ジャズ	soɯɾɯ dʑazɯ
ソウル・フード	soɯɾɯ ɸɯːdo
ソウル・ミュージック	soɯɾɯ mjɯːdʑikːɯ
ソエマツ岳	soematsɯdake
ソクズ	sokɯzɯ
ソクナ語	sokɯnagːo
ソケイ	sokei
ソケイ	sokˈeˈi
ソケット	soketːo
ソケットサンナナマル	soketːosaɴnanamaɾɯ
ソケットサービス	soketːosaːbisɯ
ソケットセブン	soketːosebɯɴ
ソケット・サービス	soketːo saːbisɯ
ソケット・セブン	soketːo sebɯɴ
ソサイエティー	sosaieteiː
ソサエティ	sosaetei
ソサエティー	sosaeteiː
ソシアリスト	soɕiaɾisɯto
ソシアリスム	soɕiaɾisɯmɯ
ソシアリズム	soɕiaɾizɯmɯ
ソシアル	soɕiaɾɯ
ソシアルダンス	soɕiaɾɯdaɴsɯ
ソシアルダンス	soɕi˥˩aɾɯdaɴɕɯ
ソシアルワーカー	soɕiaɾɯɰᵝaːkaː
ソシアル・ダンス	soɕiaɾɯ daɴsɯ
ソシアル・ワーカー	soɕiaɾɯ ɰᵝaːkaː
ソシオエコノミックス	soɕioekonomikːɯsɯ
ソシオグラム	soɕiogɯɾamɯ
ソシオバイオロジー	soɕiobaioɾodʑiː
ソシオメトリー	soɕiometoɾiː
ソシオロジー	soɕioɾodʑiː
ソシャゲ	soɕage
ソジウム	sodʑiɯmɯ
ソステヌート	sosɯtenɯːto
ソチ	sotɕːi
ソックス	sokːɯsɯ
ソックスを履かせて殺害する連続殺人犯	sokkusu o haka sete satsugai suru renzoku satsudʑin han
ソックパペット	sokːɯpapetːo
ソック・パペット	sokːɯ papetːo
ソッコー	sokːoː
ソップ	sopːɯ
ソップ型	sopːɯgata
ソップ形	sopːɯgata
ソテツ	sotetsɯ
ソテツかヤシの木のようにも見える	sotetsu ɪa ɪaɕinoki no ɪoː ni mo mieru
ソテツ目	sotetsɯmokɯ
ソテツ科	sotetsɯka
ソテー	soteː
ソディウム	sodeiɯmɯ
ソトイワシ	sotoiɰᵝaɕi
ソトワール	sotoɰᵝaːɾɯ
ソドミー	sodomiː
ソナグラム	sonagɯɾamɯ
ソナタ	nata
ソナタ	sonata
ソナタ形式	sonata keːɕiki
ソナタ形式	sonatakeiɕiki
ソナチネ	sonatɕine
ソナチネ	soɾatine
ソナー	sonaː
ソナーポケット	sonaapoketːo
ソニック	sonikːɯ
ソニックブーム	sonikːɯbɯːmɯ
ソニック・ブーム	sonikːɯ bɯːmɯ
ソニン	soni
ソニー	soniː
ソニー	sɔni
ソニー	sɔniːi
ソニーは	soniːva
ソネット	sonetːo
ソノグラフ	sonogɯɾaɸɯ
ソノシート	sonoɕiːto
ソノブイ	sonobɯi
ソノリティ	sonoɾitei
ソハールサージャンフィッシュ	sohaːɾɯsaːdʑaɴɸiɕːɯ
ソハールサージョンフィッシュ	sohaːɾɯsaːdʑoɴɸiɕːɯ
ソバなどの雑穀類の栽培や	soba nado no tszakkoku rui no saibai ɪa
ソバカス	sobakasɯ
ソバット	sobatːo
ソビエト	sobjeto
ソビエトの崩壊と共に終わった	sobieto no hoːkai to tomoni ovatta
ソビエト共産党	sobietokjoɯsaɴtoɯ
ソビエト社会主義共和国	sobietoɕakaiɕɯgikjoɯɰᵝakokɯ
ソビエト社会主義共和国の政治体制だったが	sobieto ɕakai ɕugi kjoːvakoku no seːdʑi taiseːdattaga
ソビエト社会主義共和国連邦	sobietoɕakaiɕɯgikjoɯɰᵝakokɯɾeɴpoɯ
ソビエト社会主義自治共和国	sobietoɕakaiɕɯgidʑitɕikjoɯɰᵝakokɯ
ソビエト連邦	sobietoɾeɴpoɯ
ソファ	soɸa
ソファー	sofa
ソファー	soɸaː
ソファー	sufaː
ソファーは	sofaːva
ソファーベッド	soɸaːbedːo
ソファー・ベッド	soɸaː bedːo
ソフィア	sofja
ソフィスティケーション	soɸisɯteikeːɕoɴ
ソフィスティケート	soɸisɯteikeːto
ソフィスト	soɸisɯto
ソフト	sofut
ソフト	soɸɯto
ソフトアイスクリーム	softoaizkɯɾiːmɯ
ソフトアイスクリーム	softoaizɯkɯɾiːmɯ
ソフトウェア	soɸɯtoɯea
ソフトウェアエンジニア	soɸɯtoɯeaeɴdʑinia
ソフトウェアエンジニアリング	soɸɯtoɯeaeɴdʑiniaɾiɴgɯ
ソフトウェアガイド	soɸɯtoɯeagaido
ソフトウェアキーボード	soɸɯtoɯeakiːboːdo
ソフトウェアスクロール	soɸɯtoɯeasɯkɯɾoːɾɯ
ソフトウェアスタック	soɸɯtoɯeasɯtakːɯ
ソフトウェアディベロッパキット	soɸɯtoɯeadeibeɾopːakitːo
ソフトウェアハウス	soɸɯtoɯeahaɯsɯ
ソフトウェアパッケージ	soɸɯtoɯeapakːeːdʑi
ソフトウェアフロー制御	soɸɯtoɯeaɸɯɾoːseigjo
ソフトウェアモデム	soɸɯtoɯeamodemɯ
ソフトウェアライセンス	soɸɯtoɯeaɾaiseɴsɯ
ソフトウェア・エンジニア	soɸɯtoɯea eɴdʑinia
ソフトウェア・エンジニアリング	soɸɯtoɯea eɴdʑiniaɾiɴgɯ
ソフトウェア・ガイド	soɸɯtoɯea gaido
ソフトウェア・キーボード	soɸɯtoɯea kiːboːdo
ソフトウェア・スクロール	soɸɯtoɯea sɯkɯɾoːɾɯ
ソフトウェア・ハウス	soɸɯtoɯea haɯsɯ
ソフトウェア・パッケージ	soɸɯtoɯea pakːeːdʑi
ソフトウェア・モデム	soɸɯtoɯea modemɯ
ソフトウェア・ライセンス	soɸɯtoɯea ɾaiseɴsɯ
ソフトウェア使用契約	soɸɯtoɯeaɕijoɯkeijakɯ
ソフトウェア使用許諾契約	soɸɯtoɯeaɕijoɯkjodakɯkeijakɯ
ソフトウェア割り込み	soɸɯtoɯeaɰᵝaɾikomi
ソフトウェア品質	soɸɯtoɯeaçiɴɕitsɯ
ソフトウェア品質測定法	soɸɯtoɯeaçiɴɕitsɯsokɯteihoɯ
ソフトウェア品質特性	soɸɯtoɯeaçiɴɕitsɯtokɯsei
ソフトウェア工学	soɸɯtoɯeakoɯgakɯ
ソフトウェア支援	soɸɯtoɯeaɕieɴ
ソフトウェア構成	soɸɯtoɯeakoɯsei
ソフトウェア無線	soɸɯtoɯeamɯseɴ
ソフトウェア製品	soɸɯtoɯeaseiçiɴ
ソフトウェア許諾契約	soɸɯtoɯeakjodakɯkeijakɯ
ソフトウェア開発	soɸɯtoɯeakaihatsɯ
ソフトウエア	soɸɯtoɯea
ソフトエネルギーパス	soɸɯtoeneɾɯgiːpasɯ
ソフトエラー	soɸɯtoeɾaː
ソフトカバー	soɸɯtokabaː
ソフトカラー	soɸɯtokaɾaː
ソフトカレンシー	soɸɯtokaɾeɴɕiː
ソフトカードミルク	soɸɯtokaːdomiɾɯkɯ
ソフトクリーム	soɸɯtokɯɾiːmɯ
ソフトコピー	soɸɯtokopiː
ソフトコンタクトレンズ	soɸɯtokoɴtakɯtoɾeɴzɯ
ソフトコーラル	soɸɯtokoːɾaɾɯ
ソフトシャドウ	soɸɯtoɕadoɯ
ソフトスキル	soɸɯtosɯkiɾɯ
ソフトセクタリング	soɸɯtosekɯtaɾiɴgɯ
ソフトセクタ式ディスク	soɸɯtosekɯtaɕikideisɯkɯ
ソフトタッチ	soɸɯtotatɕːi
ソフトテニス	soɸɯtotenisɯ
ソフトドリンク	sofutodoɾiɴkɯ
ソフトドリンク	soɸɯtodoɾiɴkɯ
ソフトドリンク	soɸɯtodɾjɴɯ
ソフトハイフン	soɸɯtohaiɸɯɴ
ソフトハウス	soɸɯtohaɯsɯ
ソフトバンク	softopankɯ
ソフトバンク	sofɯtoɯbaɴkɯ
ソフトパッチ	soɸɯtopatɕːi
ソフトパワー	soɸɯtopaɰᵝaː
ソフトビニール	soɸɯtobiniːɾɯ
ソフトフォント	soɸɯtoɸoɴto
ソフトフォーカス	soɸɯtoɸoːkasɯ
ソフトページブレーク	soɸɯtopeːdʑibɯɾeːkɯ
ソフトボール	soɸɯtoboːrɯ
ソフトボール	soɸɯtoboːɾɯ
ソフトランディング	soɸɯtoɾaɴdeiɴgɯ
ソフトリターン	soɸɯtoɾitaːɴ
ソフトリ・ターン	soɸɯtoɾi taːɴ
ソフトローン	soɸɯtoɾoːɴ
ソフト・エネルギー・パス	soɸɯto eneɾɯgiː pasɯ
ソフト・エラー	soɸɯto eɾaː
ソフト・カバー	soɸɯto kabaː
ソフト・カラー	soɸɯto kaɾaː
ソフト・カレンシー	soɸɯto kaɾeɴɕiː
ソフト・クリーム	soɸɯto kɯɾiːmɯ
ソフト・コピー	soɸɯto kopiː
ソフト・コンタクト・レンズ	soɸɯto koɴtakɯto ɾeɴzɯ
ソフト・コーラル	soɸɯto koːɾaɾɯ
ソフト・シャドウ	soɸɯto ɕadoɯ
ソフト・スキル	soɸɯto sɯkiɾɯ
ソフト・タッチ	soɸɯto tatɕːi
ソフト・テニス	soɸɯto tenisɯ
ソフト・ドリンク	soɸɯto doɾiɴkɯ
ソフト・ハイフン	soɸɯto haiɸɯɴ
ソフト・ハウス	soɸɯto haɯsɯ
ソフト・パッチ	soɸɯto patɕːi
ソフト・パワー	soɸɯto paɰᵝaː
ソフト・ビニール	soɸɯto biniːɾɯ
ソフト・フォント	soɸɯto ɸoɴto
ソフト・フォーカス	soɸɯto ɸoːkasɯ
ソフト・ページ・ブレーク	soɸɯto peːdʑi bɯɾeːkɯ
ソフト・ランディング	soɸɯto ɾaɴdeiɴgɯ
ソフト・リターン	soɸɯto ɾitaːɴ
ソフト・ローン	soɸɯto ɾoːɴ
ソフト化	soɸɯtoka
ソフト帽	soɸɯtoboɯ
ソフト行末	soɸɯtogjoɯmatsɯ
ソフト面	soɸɯtomeɴ
ソフトｓａ	soɸɯtoesɯeː
ソフビ	soɸɯbi
ソフホーズ	soɸɯhoːzɯ
ソブリンローン	sobɯɾiɴɾoːɴ
ソブリン・ローン	sobɯɾiɴ ɾoːɴ
ソプラノ	sopɯɾano
ソプラノとテノールがそろって	sopurano to tenoːru ga sorotte
ソプラノ記号	sopɯɾanokigoɯ
ソホーズ	sohoːzɯ
ソマトスタチン	somatosɯtatɕiɴ
ソマトトロピン	somatotoɾopiɴ
ソマリ	somaɾi
ソマリア	smaɾia
ソマリア	somaɾia
ソマリバタフライフィッシュ	somaɾibataɸɯɾaiɸiɕːɯ
ソマリ語	smaɾigo
ソマリ語	somaɾigo
ソムリエ	somɯɾie
ソムリエール	somɯɾieːɾɯ
ソメイヨシノ	someijoɕino
ソメワケイソハゼ	someɰᵝakeisohaze
ソメワケベラ	someɰᵝakebeɾa
ソユーズ	sojɯːzɯ
ソラ	sora
ソライロアサガオ	soɾaiɾoasagao
ソラカ	soɾaka
ソラカラ	soɾa kaɾa
ソラスズメダイ	soɾasɯzɯmedai
ソラスズメダイ属	soɾasɯzɯmedaizokɯ
ソラス条約	soɾasɯdʑoɯjakɯ
ソラニン	soɾaniɴ
ソラマメ	soɾamame
ソラマメ	soɾamme
ソラリア	soɾaɾia
ソラリアム	soɾaɾiamɯ
ソラリス	soɾaɾisɯ
ソラリゼーション	soɾaɾizeːɕoɴ
ソリスト	soɾisɯto
ソリダリティー	soɾidaɾiteiː
ソリッド	soɾidːo
ソリッド	sɾitːo
ソリッドギター	soɾidːogitaː
ソリッドステート	soɾidːosɯteːto
ソリッドタイヤ	soɾidːotaija
ソリッドモデル	soɾidːomodeɾɯ
ソリッド・ギター	soɾidːo gitaː
ソリッド・ステート	soɾidːo sɯteːto
ソリッド・タイヤ	soɾidːo taija
ソリッド・モデル	soɾidːo modeɾɯ
ソリッド抵抗器	soɾidːoteikoɯki
ソリトン	soɾitoɴ
ソリハシシギ	soɾihaɕiɕigi
ソリハシセイタカシギ	soɾihaɕiseitakaɕigi
ソリュブルコーヒー	soɾjɯbɯɾɯkoːçiː
ソリュブル・コーヒー	soɾjɯbɯɾɯ koːçiː
ソリューション	soɾjɯːɕoɴ
ソリューションプロバイダ	soɾjɯːɕoɴpɯɾobaida
ソリューション・プロバイダ	soɾjɯːɕoɴ pɯɾobaida
ソル	soɾɯ
ソルガム	soɾɯgamɯ
ソルガレオ	soɾɯgaɾeːo
ソルゴー	soɾɯgoː
ソルジャー	soɾɯdʑaː
ソルダム	soɾɯdamɯ
ソルダリング	soɾɯdaɾiɴgɯ
ソルダーリング	soɾɯdaːɾiɴgɯ
ソルティドッグ	soɾɯteidogːɯ
ソルティ・ドッグ	soɾɯtei dogːɯ
ソルト	soɾɯto
ソルトリーフ	soɾɯtoɾiːɸɯ
ソルト・リーフ	soɾɯto ɾiːɸɯ
ソルバー	soɾɯbaː
ソルビット	soɾɯbitːo
ソルビトール	soɾɯbitoːɾɯ
ソルビン酸	soɾɯbiɴsaɴ
ソルフェージュ	soɾɯɸɯeːdʑɯ
ソルベ	soɾɯbe
ソルベ	sɔrɯbe
ソルベンシーマージン	soɾɯbeɴɕiːmaːdʑiɴ
ソルベンシー・マージン	soɾɯbeɴɕiː maːdʑiɴ
ソルベン率	soɾɯbeɴɾitsɯ
ソルボンヌ	soɾɯboɴːɯ
ソルロック	sɾkːɯ
ソレアイト	soɾeaito
ソレイユ	soɾeijɯ
ソレノイド	soɾenoido
ソレノイドへの突入電流で	sorenoido e no totsuɲuː denrjuː de
ソレノドン	soɾenodoɴ
ソロ	soɾo
ソロ	sɔrɔ
ソロの	soɾo
ソロアルバム	soɾoaɾɯbamɯ
ソロイスト	soɾoisɯto
ソロイモンガラ	soɾoimoɴgaɾa
ソロバン	soɾobaɴ
ソロプチミスト	soɾopɯtɕimisɯto
ソロモン海	soɾomːkai
ソロモン諸島	soɾomoɴɕotoɯ
ソロレート	soɾoɾeːto
ソロレート婚	soɾoɾeːtokoɴ
ソロ・アルバム	soɾo aɾɯbamɯ
ソワニエ	soɰᵝanie
ソワレ	sovaɾe
ソワレ	soɰᵝaɾe
ソンクラーン	soɴkɯɾaːɴ
ソング	soŋg
ソング	soɴgɯ
ソング	sɑ̃gˈ
ソングポスト	soɴgɯposɯto
ソング・ポスト	soɴgɯ posɯto
ソンブレロ	soɴbɯɾeɾo
ソンミ事件	soɴmidʑikeɴ
ソンミ村虐殺事件	soɴmimɯɾagjakɯsatsɯdʑikeɴ
ソヴィエット	sovietːo
ソヴィエト	sovieto
ソヴィエト連邦	sovietoɾeɴpoɯ
ソーイング	soːiɴgɯ
ソーイングセット	soːiɴgɯsetːo
ソーイング・セット	soːiɴgɯ setːo
ソーガム	soːgamɯ
ソーキ	soːki
ソーキング	soːkiɴgɯ
ソークワクチン	soːkɯɰᵝakɯtɕiɴ
ソーク・ワクチン	soːkɯ ɰᵝakɯtɕiɴ
ソーサラー	soː saɾaa
ソーサラー	soːsaɾaː
ソーサー	soːsaː
ソーサームサーイ	soːsaːmɯsaːi
ソーシャリスト	soːɕaɾisɯto
ソーシャリズム	soːɕaɾizɯmɯ
ソーシャリゼーション	soːɕaɾizeːɕoɴ
ソーシャル	soːɕaɾɯ
ソーシャルアクション	soːɕaɾɯakɯɕoɴ
ソーシャルエコロジー	soːɕaɾɯekoɾodʑiː
ソーシャルエンジニアリング	soːɕaɾɯeɴdʑiniaɾiɴgɯ
ソーシャルグループワーク	soːɕaɾɯgɯɾɯːpɯɰᵝaːkɯ
ソーシャルケースワーカー	soːɕaɾɯkeːsɯɰᵝaːkaː
ソーシャルケースワーク	soːɕaɾɯkeːsɯɰᵝaːkɯ
ソーシャルゲーム	soːɕaɾɯgeːmɯ
ソーシャルコスト	soːɕaɾɯkosɯto
