abadanlıq	ɑbɑdɑnɫɯχ
day	dɑj
dayə	daːjæ
dayı	dɑjɯ
dayıoğlu	dɑjɯoɣɫu
dayıqızı	dɑjɯgɯzɯ
daz	dɑz
deaktivləşdirmək	deɑktivlæʃtirmæk
demək	demæk
deşik	deʃiç
deşik	deʃij
devirmək	devirmæj
devirmək	devirmæk
deyəsən	dejæsæn
deyəsən	dijæsæn
deyinmək	dejinmæc
dəb	dæb
dədə	dædæ
dəfə	dæfæ
dəfnə	dæfnæ
dəftər	dæftær
dəhənz	dæhænz
dələ	dælæ
dəli	dæli
dəlixana	dæliχɑnɑ
dəm	dæm
dəmirçi	dæmirtsi
dəmirçi	dæmirtʃi
dəmiryol	dæmirjoɫ
dəmləmək	dæmlæmæç
dəmləmək	dæmlæmæj
dəmləmək	dæmlæmæk
dənə	dænæ
dənizçilik	dæniztsiliç
dənizçilik	dæniztʃilik
dəqiq	dægig
dəqiqə	dæːgæ
dəqiqə	dægiːgæ
dəqiqə	dægigæ
dəqiqə	dæjgæ
dəqiqə	dɑɣɑ
dərd	dærd
dərhal	dærhɑɫ
dəri	dæri
dərin	dærin
dərinlik	dærinlij
dərman	dærmɑn
dərs	dærs
dərzi	dærzi
dəstək	dæstæç
dəstək	dæstæj
dəstəmaz	dæstæmɑz
dəxil	dæxil
dəxl	dæxl
dəxmə	dæxmæ
dəyə	dæjæ
dəyər	dæjær
dəyirman	dæjirmɑn
dəyişdirmək	dæjiʃdirmæj
dəyişdirmək	dæjiʃdirmæk
dəyişdirmək	dæjiʃtirmæj
dəyişdirmək	dæjiʃtirmæk
dəyişik	dæjiʃic
dəyişkən	dæjiʃcæn
dəyişmək	dæjiʃmæj
dəyişmək	dæjiʃmæk
dəymək	dæjmæj
dəymək	dæjmæk
dəymək	dæjmɑχ
dəyməz	dæjmæz
dəymiş	dæjmiʃ
didərgin	didærɟin
didik	didic
didmək	didmæc
digər	didʒær
digər	diɟær
dikbaş	dikbɑʃ
dikbaş	ditʃbɑʃ
dik	dic
dik	ditʃ
dikmək	dicmæc
dikmək	dikmæj
dikmək	ditʃmæç
diktor	diktor
dilab	diɫɑb
dilab	diɫɑf
dilçi	diltsi
dilçi	diltʃi
dilçilik	diltsilij
dilçilik	diltsilik
dilçilik	diltʃilij
dilçilik	diltʃilik
dil	dil
dilənçi	dilæntsi
dilənçi	dilæntʃi
dilənçilik	dilæntsilitʃ
dilənçilik	dilæntʃilik
dilənmək	dilæmːæj
dilənmək	dilæmːæk
dilənmək	dilænmæj
dilənmək	dilænmæk
dilim	dilim
dilimi	dilimi
dilmanc	dilmɑndz
dilmanc	dilmɑndʒ
dincəlmək	dindzælmæj
dincəlmək	dindzælmæk
dincəlmək	dindʒælmæj
dincəlmək	dindʒælmæk
dindar	dindar
din	din
dindirmə	dindirmæ
dinləmək	dinːæmæc
dinləmək	dinlæmæc
dinləmək	dinlæmɑχ
dirçəliş	dirtsæliʃ
dirçəliş	dirtʃæliʃ
diş	diʃ
diskriminasiya	diskriminɑsija
dişləmək	diʃtæmæj
dişləmək	diʃtæmæk
dişləmək	diʃtæmɑχ
divar	divɑr
divar	duvɑr
dığa	dɯɣɑ
dılaq	dɯɫɑχ
dıllaq	dɯɫːɑχ
dındıq	dɯndɯx
dırmıq	dɯrmɯχ
dırnaq	dɯrnɑχ
dışarı	dɯʃɑrɯ
dnt	deente
doğmaq	doɣmɑχ
doğramaq	doɣrɑmɑχ
doğrudan	doɣrudɑn
doğrudan	doɣurdɑn
doğulmaq	doɣuɫmɑχ
dolab	doɫɑb
dolamac	doɫɑmɑdz
dolaşmaq	doɫɑʃmɑx
döl	dœl
doldurmaq	doɫdurmɑχ
dolğun	doɫɣun
dölləndirmək	dœlːændirmæc
dolma	doɫmɑ
dolmaq	doɫmɑχ
dolu	doɫu
dombalaq	domːbɑlɑx
dondurma	dondurmɑ
dondurmaq	dondurmɑχ
dönər	dœnær
dönərxana	dœnærχɑnɑ
donmaq	domːɑχ
donmaq	donmɑχ
dönmək	dœmːæj
dönmək	dœmːæk
dönmək	dœnmæj
dönmək	dœnmæk
dönüş	dœnyʃ
donuz	donuz
doqquzuncu	dokːuzundʒu
dörd	dœrd
dördgöz	dœrddʒœz
dördgöz	dœrdɟœz
dördüncü	dœɾdyndʒy
döşəkağı	dœʃæjɑɣɯ
döşək	dœʃæj
döşək	dœʃæk
dost	dost
dostluq	dostːuχ
dostluq	dostɫuχ
dövr	dœvr
dövrə	dœvræ
dövrəvi	dœvrævi
dövri	devri
dövri	dœvri
dövri	dœvry
dövriyyə	dœvrijæ
doxsanıncı	doxsɑnɯndʒɯ
döymək	dœgmæj
döymək	dœgmej
döymək	dœjmæc
döymək	dœjmæj
döymək	dœjmɑχ
döyüş	dœjyʃ
dözmək	dœzmæj
dözmək	dœzmæk
dözülməz	dœzylmæz
dözüm	dœzym
dözümlü	dœzymly
dözümlülük	dœzymlylyj
dözümlülük	dœzymlylyk
dözümsüz	dœzymsyz
dözümsüzlük	dœzymsyzlyj
dözümsüzlük	dœzymsyzlyk
dua	duɑ
dübarə	dybaːræ
dublyaj	dubljɑʒ
düha	dyhɑ
dükançı	dycantʃɯ
dükançı	dytʃantsɯ
dükan	dycan
dükan	dytʃan
dükan	tycan
dükan	tytʃan
dülgər	dylɟær
dulusçu	duɫustsu
dulusçu	duɫustʃu
dulus	duɫus
duman	dumɑn
dünən	dynæn
dünyəvi	dynjæːvi
durğuzmaq	durɣuzmɑx
durmaq	durmɑχ
durna	durnɑ
duruş	duruʃ
dürüst	dyryst
dürüstlük	dyɾysdyç
düş	dyʃ
düşman	dyʃmɑːn
düşmək	dyʃmæk
düşmək	tyʃmæk
düşmənçilik	dyʃmæntsilitʃ
düşmənçilik	dyʃmæntʃiliç
düşmənçilik	dyʃmæntʃilij
düşmənçilik	dyʃmæntʃilik
düşmən	dyʃmæn
dustaq	dustɑχ
düş	tyʃ
düşünmək	dyʃymːæj
düşünmək	dyʃymːɑχ
duvaq	duvɑx
dux	duχ
düyə	dyjɑ
duyğu	dujɣu
duymaq	dujmɑχ
düyü	dyjy
düzbucaqlı	dyzbudzɑɣɫɯ
düzbucaqlı	dyzbudʒɑɣɫɯ
düz	dyz
düzəlmək	dyzælmæj
düzəlmək	dyzælmæk
düzəlmək	dyzælmɑχ
düzəlmək	dyzælmej
düzəltmək	dyzæltmæc
düzəltmək	dyzæltmæj
düzəltmək	dyzæltmej
düzəltmək	dyzætmɑχ
düzən	dyzæn
düzgün	dyzɟyn
ecgahan	ædzdʒɑhɑn
ecgahan	ædʒɟɑhɑn
ecgahan	æʒɟejin
ecgahan	edʒɟɑhɑn
ecgahan	ejdzɑːn
ecgahan	ejdzɑhɑn
ecgahan	ejdʒɑːn
ecgahan	ejdʒɑhɑn
ecgahan	eʒɟæhin
ecgahan	eʒɟɑːn
ecgahan	eʒɟɑhɑn
ecgahan	eʒɟɑn
edam	eːdam
ehtiram	ehtirɑm
ehtiramlı	ehtirɑmɫɯ
ehtiramsız	ehtirɑmsɯz
ehtiras	ehtirɑs
ehtiyatla	ehtijɑtɫɑ
elçilik	eltsilitʃ
elçilik	eltʃiliç
elçilik	eltʃilik
elə	elæ
eləmək	elæmæk
elita	elitɑ
elitar	elitɑr
elxan	elχɑn
endirmə	endirmæ
endirmək	endirmæc
en	en
enmək	emːæk
enmək	enmæj
enmək	enmæk
epidemiologiya	epidemioɫoɟijɑ
epidemioloji	epidemioloʒɯ
epidemiya	epidemijɑ
ertə	ertæ
ertələmə	ertælæmæ
eşitmək	eʃitmæj
eşitmək	eʃitmæk
etdirmək	etːirmæj
etdirmək	etːirmæk
etdirmək	etdirmæj
etdirmək	etdirmæk
etimoloji	etimoloʒɯ
etiraf	eːtirɑf
etiraz	eːtirɑz
etmək	etmæj
etmək	etmæk
evcik	evdzitʃ
evcik	evdʒij
evcik	evdʒik
ev	ev
evlənmək	evlæmːæj
evlənmək	evlæmːæk
evsiz	evsiz
eybəcər	ejbædzær
eybəcər	ejbædʒær
eyham	ejhɑm
eyib	æjib
eyib	æɟib
eyib	ɑjɯb
eyib	ejib
eyləmək	ejlæmæk
eyləmək	ejlæmɑχ
eynək	ejnæç
eynək	ejnæj
eynək	ejnæk
eyni	ɑjnɯ
eyni	ejni
əbd	æbd
əbədilik	æbædilij
əbədilik	æbædilik
əbədiyyət	æbædijæt
əbrişim	æbriʃim
əcəl	ædzæl
əcəl	ædʒæl
əcəl	æʒæl
Əcəm	ædʒæm
əcəm	ædʒæm
ədalət	ædɑːlæt
ədalətsizlik	ædɑːlætsizlic
ədat	ædat
ədəd	ædæd
Ədhəm	ædhæm
ədhəm	ædhæm
ədliyyə	ædlijæ
ədviyyə	ædvijæ
ədviyyəli	ædvijæli
əfv	æf
əgər	ædʒær
əgər	æjæɾ
əgər	æɟæɾ
əhali	æhɑli
əhəmiyyət	æhæmijæt
əhəmiyyətli	æhæmijætli
əhl	æhl
əhvalat	æhvɑɫɑt
əjdaha	æʒdɑhɑ
əjdəha	æʒdæhɑ
əkil	ækil
əkil	ætʃil
əklil	æklil
əklil	ætʃlil
əkmək	ækmæj
əkmək	ækmæk
əksəriyyət	æksærijæt
əksinə	æcsinæ
əla	æːɫɑ
əla	æɫɑ
əlaçı	æːɫɑtsɯ
əlaçı	æːɫɑtʃɯ
əl	æl
əlaqə	æɫɑːgæ
əlavə	ælɑːvæ
əlçatanlıq	æltsɑtɑnɫɯχ
əlçatanlıq	æltʃɑtɑnːɯχ
əlçatanlıq	æltʃɑtɑnɫɯχ
əlçatmaz	æltsɑtmɑz
əlçatmaz	æltʃɑtmɑz
əlçatmazlıq	æltsɑtmɑzɫɯχ
əlçatmazlıq	æltʃɑtmɑzɫɯχ
əlcək	ældzæk
əlcək	ældʒæk
Əlcəzair	ældʒæzɑːiɾ
əlcəzairli	ældʒæzɑːiɾli
əleyhinə	ælejhinæ
əlfəcin	ælfædzin
əlfəcin	ælfædʒin
əlindən	ælinːæn
əlindən	ælindæn
əliyalın	ɑælijɑɫɯn
əlli	ælli
əllinci	ællindʒi
əlüstü	ælysty
əlvan	ælvɑn
əlvida	ælvidɑ
əlyazı	æljɑzɯ
əmanət	æmɑːnæt
əmcək	æmdzæj
əmcək	æmdʒæj
əmək	æmæj
əmək	æmæk
əməl	æmæl
əmi	æmi
əmin	æmin
Əminə	æminæ
əmioğlu	æmioɣɫu
əmiqızı	æmigɯzɯ
əmizdirmək	æmizdirmæk
əmmək	æmːæj
əmmək	æmːæk
əmn	æmn
əmr	æmr
əmsal	æmsɑl
əmzik	æmzic
əncam	ændzɑm
əncam	ændʒɑm
əndazə	ændɑːzæ
ənənə	ænæːnæ
ənənəvi	ænænæːvi
əng	æŋg
ənis	ænis
ənlik	ænlic
ənsə	ænsæ
Əntilyas	æntiljɑs
Ənuşirəvan	ænuʃirævɑn
əqdəm	ægdæm
ər	æɾ
ərbab	ærbɑb
ərimək	ærimæj
ərimək	ærimæk
əriş	æriʃ
əriştə	æriʃtæ
əritmək	æritmæj
əritmək	æritmæk
əritmək	æritmɑχ
əş	æʃ
əsarət	æsɑːræt
əsasən	æsɑːsæn
əsəb	æsæb
əsər	æsær
əsgər	æsgær
əsgər	æskær
əsin	æsin
əsir	æsir
əski	æsci
əsnəmək	æsnæmæj
əsnəmək	æsnæmæk
əsrarəngiz	æsraræŋɟiz
əsrik	æsriç
əsrik	æsrij
əsrik	æsrik
əsrik	æsritʃ
əsrik	æsriχ
əsrik	æsryj
əsrik	æsryχ
əsrimək	æsrimæj
əsrimək	æsrimæk
əşya	æʃjɑ
ət	æt
ətağa	æːtɑɣɑ
ətalət	ætaːlæt
ətçəkən	ættʃækæn
ətək	ætæj
ətək	ætæk
ətək	ætætʃ
ətirşah	ætirʃɑh
ətsatan	ætsɑtɑn
əttökən	ætːœcæn
ətyeyən	ætjejæn
əvət	ævæt
əvəzlik	ævæzdic
əvəzlik	ævæzlic
əxlaq	æhɫɑg
əxlaq	æhɫɑk
əxlaq	æhɫɑχ
əxlaq	æχɫɑg
əxlaq	æχɫɑk
əxlaq	æχɫɑχ
əxz	æχz
əyin	æjin
əyləc	æjlædz
əyləc	æjlædʒ
əyləmək	æjlæmæj
əyləmək	æjlæmæk
əyləncə	æjlændzæ
əyləncə	æjlændʒæ
əylənmək	æjlænmæj
əylənmək	æjlænmæk
əyləşmək	æjlæʃmæk
əymək	æjmæk
əyri	æjri
Əzizə	æzizæ
əzm	æzm
əzvay	æzvɑj
fabrik	fɑbrik
fahişə	fɑhiʃæ
fahişəlik	fɑhiʃælik
fahişəxana	fɑhiʃæχɑnɑ
faiz	fɑiz
faiz	fɑjɯz
fani	fɑːni
fars	fɑrs
faşizm	fɑʃizm
ferma	fermɑ
fəaliyyət	fæɑlijæt
fəhlə	fæhlæ
fəlsəfə	fælsæfæ
fərli	færːi
fərli	færli
fərq	færg
fərqlənmək	færglæmːæj
fərqlənmək	færglæmːæk
fəryad	færjɑd
fəsil	fæsil
fətəli	fætæli
fəzzan	fæzzɑn
fikirləşmək	ficirːæʃmæj
fikirləşmək	ficirlæʃmæj
film	film
firqə	firgæ
firuzə	firuːzæ
fit	fit
fitnə	fitnæ
fındıq	fɯndɯχ
fındıqqıran	fɯndɯɣgɯrɑn
fırtına	fɯɾtɯnɑ
fonoloji	fonoɫoʒɯ
fövqəladə	fœvgælɑːdæ
fövqəladə	fœvgɑɫɑdɑ
futbolçu	futboɫtsu
futbolçu	futboɫtʃu
füzelyaj	fyzeljɑʒ
gah	ɟɑh
gec	dʒedz
gecə	dʒedzæ
gecə	ɟedʒæ
gecəqondu	dʒedzægondu
gecəqondu	ɟedʒægondu
gec	ɟedʒ
general	ɟenerɑɫ
geniş	dʒeniʃ
geniş	ɟeniʃ
genişlənmək	ɟeniʃlæmːæc
genişlənmək	ɟeniʃlænmæc
geri	ɟeri
getmək	dʒetmɑχ
getmək	ɟetmæc
getmək	ɟetmæç
getmək	ɟetmæj
geydirmə	ɟejdirmæ
geyim	dʒejim
geyim	ɟejim
geyinmək	ɟejinmæk
geymək	ɟejmæk
gəlincik	dʒælindzitʃ
gəlincik	ɟælindʒic
gəlin	ɟælin
gəlmə	ɟælmæ
gəlmək	ɟælmæc
gəlmək	ɟælmæç
gəlmək	ɟælmæj
gəmi	dʒæmi
gəmi	ɟæmi
gəmirici	dʒæmiridzi
gəmirici	ɟæmiridʒi
gəmirmək	ɟæmirmæç
gənc	dʒændz
gənc	ɟændʒ
gənclik	dʒændzlitʃ
gənclik	ɟændʒlik
gərək	ɟæræj
gərək	ɟæræk
gərəkmək	ɟæræcmæç
gərgin	ɟærɟin
gətirmək	ɟætirmæc
gəzdirmək	dʒæzdirmɑχ
gəzdirmək	ɟæzdirmæj
gəzdirmək	ɟæzdirmæk
gəzdirmək	ɟæzdirmej
gəzmək	dʒæzmɑχ
gəzmək	ɟæzmæj
gəzmək	ɟæzmæk
gəzmək	ɟæzmej
Ğ	ɣ
gicdıllaq	ɟiʒdɯɫːɑχ
gic	dʒidz
gicgah	dʒidzdʒɑh
gicgah	ɟidʒɟɑh
gic	ɟidʒ
giley	dʒilej
giley	ɟilej
gileylənmək	dʒilejlænmætʃ
gileylənmək	ɟilejlænmæc
gilə	dʒilæ
gilə	ɟilæ
girdə	ɟirdæ
giriş	ɟiriʃ
girişmək	ɟiriʃmæc
girmək	dʒirmɑχ
girmək	ɟirmæk
girmək	ɟirmej
giryə	ɟirjæ
gizləmək	ɟizdæmæk
gizləmək	ɟizlæmæk
gizlənmək	ɟizdænmæk
gizlənmək	ɟizlænmæk
gizlənpaç	ɟizdænpɑtʃ
gizlənpaç	ɟizlænpɑtʃ
gizlətmək	dʒizlætmɑχ
gizlətmək	ɟizdætmæk
gizlətmək	ɟizlætmæk
gizli	dʒizli
gizli	ɟizdi
gizli	ɟizli
gizlin	dʒizlin
gizlin	ɟizdin
gizlin	ɟizlin
göbələk	ɟœbælæj
göbələk	ɟœbælæk
göl	dʒœl
göl	ɟœl
gombul	ɟombuɫ
gömmək	ɟœmːæj
gömmək	ɟœmːæk
göndərmək	dʒœndærmɑχ
göndərmək	ɟœndærmæk
gopçu	ɟoptʃu
gop	ɟop
gorbagor	ɟorbɑɟor
görə	dʒœræ
görə	ɟœræ
görəsən	dʒœræsæn
görəsən	ɟœræsæn
gor	ɟor
görmək	dʒœrmɑχ
görmək	ɟœrmæk
görünmək	dʒœrynmætʃ
görünmək	ɟœrynmæk
görüşdürmək	ɟœryʃdyrmæc
görüş	dʒœryʃ
görüş	ɟœryʃ
görüşmək	dʒœryʃmætʃ
görüşmək	ɟœryʃmæc
göstəriş	dʒœstæriʃ
göstəriş	ɟœstæriʃ
göstərmək	dʒœstærmɑχ
göstərmək	ɟœstærmæk
göt	dʒœt
göt	ɟœt
götürmək	ɟœtyrmæk
götvərən	dʒœtværæn
götvərən	ɟœtværæn
götvərənlik	ɟœtværænlik
gövdə	ɟœvdæ
göydələn	ɟœjdælæn
göy	dʒœj
göyərçin	dʒœjærtsin
göyərçin	ɟœjærtʃin
göyərçin	ɟœɟærtʃin
göyərti	dʒœjærti
göyərti	ɟœjærti
göyərti	ɟœɟærti
göy	ɟœj
gözləmək	dʒœzlæmɑχ
gözləmək	ɟœzdæmæc
gözləmək	ɟœzdæmej
gözləmək	ɟœzlæmæc
gözlənilməz	ɟœzdænilmæz
gözlənilməz	ɟœzlænilmæz
gözlənti	ɟœzdænti
gözlənti	ɟœzlænti
gözlük	dʒœzlytʃ
gözlük	ɟœzlyc
gözmuncuğu	dʒœzmundzuɣu
gözmuncuğu	ɟœzmundʒuɣu
gözüaçıq	dʒœzyɑtsɯχ
gözüaçıq	ɟœzyɑtʃɯχ
güc	dʒyʒ
güclü	dʒydzly
güclü	ɟydʒly
gülab	dʒylɑb
gülab	ɟylɑb
gülərüz	ɟylæryz
gülərüzlü	ɟylæryzly
güləşçi	dʒylæʃtsi
güləşçi	ɟylæʃtʃi
güləş	dʒylæʃ
güləş	ɟylæʃ
gül	ɟyl
güllə	ɟylːæ
güllələmək	dʒylːælæmɑχ
güllələmək	ɟylːælæmæk
gülmək	dʒylmɑχ
gülmək	ɟylmæc
gülnarə	dʒylnɑːræ
gülnarə	ɟylnɑːræ
gülümsəmək	ɟylymsæmæj
gülümsəmək	ɟylymsæmæk
gülüş	ɟylyʃ
gümüş	ɟymyʃ
günah	dʒynɑh
günah	ɟunɑh
günah	ɟynɑh
günahkar	dʒunahtʃɑr
günahkar	ɟunahcɑr
günahkar	ɟynahcɑr
günahsız	dʒynɑhsɯz
günahsız	ɟunɑhsɯz
günahsız	ɟynɑhsɯz
güncəl	dʒyndzæl
güncəl	ɟyndʒæl
gündəlik	dʒyndælik
gündəlik	ɟyndælik
gündüz	dʒyndyz
gündüz	ɟyndyz
gün	dʒyn
günəbaxan	ɟynæbɑxɑn
günəş	ɟynæʃ
gün	ɟyn
günorta	ɟynortɑ
günya	ɟynjɑ
gürcü	dʒyrdzy
gürcü	ɟyrdʒy
gürcüstan	dʒyɾdzystɑn
gürcüstan	ɟyɾdʒystɑn
gurluq	ɟurːuχ
gurluq	ɟurɫuχ
güvənmək	ɟyvæmːæj
güvənmək	ɟyvænmæk
haçan	hɑtʃɑn
hakim	hɑːkim
hakimiyyətçi	hɑːcimijættʃi
hakimiyyətçi	hɑːtʃimijættsi
hakimiyyət	hɑːkimijæt
hakimiyyət	hɑːtʃimijæt
halbuki	hɑɫbuki
hamar	hɑmɑr
hamilə	hɑmilæ
hamiləlik	hɑːmilælic
hamı	hɑmːɯ
hamısı	hɑmːɯsɯ
hamısı	hɑmsɯ
hanı	hɑnɯ
hansı	hɑnsɯ
haqq	hɑg
haqq	hɑχ
haqqında	hɑkːɯndɑ
harada	hɑrɑda
haradan	hɑrɑdan
hara	hɑrɑ
haralı	hɑrɑɫɯ
harasa	hɑrɑsɑ
haraya	hɑrɑjɑ
harda	hɑrda
hardasa	hɑrdɑsɑ
hasa	hɑsɑ
hasar	hɑsɑr
hasilat	hɑːsiɫɑt
hava	hɑvɑ
havaxt	hɑvɑχt
hayan	hɑjɑn
hazır	hɑzɯr
hazırkı	hɑzɯrki
hazırkı	hɑzɯrkɯ
hazırlamaq	hɑzɯrːɑmɑχ
hazırlamaq	hɑzɯrɫɑmɑχ
hazırlaşmaq	hɑzɯrːɑʃmɑχ
hazırlaşmaq	hɑzɯrɫɑʃmɑχ
hazırlıq	hɑzɯrːɯχ
hazırlıq	hɑzɯrɫɯχ
heç	hets
heç	hetʃ
hekayə	hecɑːjæ
hekayət	hecɑːjæt
hesabına	heːsɑbɯnɑ
heykəl	hejkæl
heykəltəraş	hejkæltærɑʃ
hədəf	hædæf
hədə	hædæ
hədiyyə	hædijæ
həftəlik	hæftæliç
həftəlik	hæftælij
həftəlik	hæftælik
həkim	hækim
hələb	hælæb
hələ	hælæm
həlim	hælim
həmdilli	hæmdilːi
həmin	hæmin
həmişə	hæmːæʃæ
həmişə	hæmːiʃæ
həmişə	hæmiʃæ
həmişə	hæmʃæ
həmrəy	hæmræç
həmrəy	hæmræj
həmrəy	hæmræk
həmrəylik	hæmræjlij
həmrəylik	hæmræjlik
həmsöhbət	hæmsœːbæt
həmsöhbət	hæmsœhbæt
həmsöhbət	hæmsœjbæt
həmyaş	hæmjɑʃ
həndəsə	hændæsæ
həngamə	hæŋɟɑːmæ
həqarət	hægɑːræt
həqiqi	hægiːgi
hərarət	hærɑræt
hərbçi	hærbtsi
hərbçi	hærbtʃi
hərbi	hærbi
hərdənbir	hærdænbir
hərdən	hærdæn
hərəkət	hærækæt
hər	hær
həsrət	hæsræt
həştərxan	hæʃtærχɑn
hətmən	hætmæn
həyat	hæjɑt
həzm	hæzm
hilal	hilɑl
his	his
hissə	hisːæ
hiss	hisː
hiylə	hijlæ
hökumət	hœcuːmæt
hökumət	hœcymæt
homoseksuallıq	homoseksuaɫːɯχ
hoqqa	hokːɑ
hörmətcil	hœrmætdzil
hörmətcil	hœrmætdʒil
hörmətli	hœrmætli
hörümçək	hœrymtʃæj
hörümçək	hœrymtʃæk
hövsələ	hœfsælæ
hövsələ	hœvsælæ
hovuz	hovuz
hövzə	hœvzæ
hüceyrə	hydʒejræ
hücrə	hydzræ
hücrə	hydʒræ
hüdud	hydud
hündür	hyndyr
hüquq	hygug
huş	huʃ
huşsuzluq	huʃsuzdux
huşsuzluq	huʃsuzɫux
hüzn	hyzn
hüznlü	hyznly
ibarət	ibɑːræt
ibrani	ibrɑːni
ibrə	ibræ
ibri	ibri
icad	idzɑd
icad	idʒɑd
icazə	idzɑːzæ
icazə	idʒɑːzæ
içəri	itsæri
içəri	itʃæri
içində	itsindæ
içində	itʃindæ
içizdirmək	itsizdirmæk
içizdirmək	itʃizdirmæj
içizdirmək	itʃizdirmæk
içkili	itstʃili
içkili	itʃkili
iclas	idzɫɑs
iclas	idʒɫɑs
icma	idzmɑ
icma	idʒmɑ
içmək	iʃmɑχ
içmək	itʃmæj
içmək	itʃmæk
idarə	idɑːræ
idi	idi
idmançı	idmɑntsɯ
idmançı	idmɑntʃɯ
iflas	ifɫɑs
igidlik	igidlij
igidlik	igidlik
ikiarvadlı	ikiɑrvɑdɫɯ
ikiarvadlılıq	ikiɑrvɑdɫɯlɯχ
ikinci	icindʒi
ilbiz	ilbiz
ildırım	iɫdɯrɯm
ildırım	ɯɫdɯɾɯm
ilə	ilæ
ilıq	iɫɯχ
ilk	ilk
ilkin	ilkin
ilkin	iltʃin
imarət	imɑːræt
imkan	imtʃɑn
imla	imɫɑ
inad	inɑd
inadkar	inɑdcɑr
inadkarlıq	inɑdcɑrːɯχ
inadkarlıq	inɑdcɑrɫɯχ
inanc	inɑndz
inanc	inɑndʒ
inanılmaz	inɑnɯɫmɑz
inanmaq	inɑmːɑχ
incə	indzæ
incə	indʒæ
inci	indzi
inci	indʒi
incimək	indzimætʃ
incimək	indʒimæj
incimək	indʒimæk
incitmək	indzitmætʃ
incitmək	indʒitmæj
incitmək	indʒitmæk
indi	indi
ingilis	iŋgilis
inilti	inilti
insan	insɑn
intibah	intibɑh
intihar	intihɑr
intiqam	intigɑm
intişar	intiʃɑr
inzibat	inzibɑt
ipək	ipæj
ipək	ipæk
ipəkqurdu	ipæcgurdu
iqlim	iglim
iranşünas	iɾanʃynɑs
irəli	iræli
irgənmək	irdʒænmætʃ
irgənmək	irɟæmːæc
irgənmək	irɟænmæc
iri	iri
irin	irin
irlandiyalı	irɫɑndijɑlɯ
irmaq	irmɑχ
işçi	iʃtsi
işçi	iʃtʃi
işəmək	iʃæmæj
işəmək	iʃæmæk
ishal	ishɑɫ
işıq	iʃɯχ
işıqlandırmaq	iʃɯɣɫɑndɯrmɑx
işıq	ɯʃɯχ
islandiyalı	isɫɑndijɑlɯ
işlək	iʃdæk
işlək	iʃlæk
işləmək	iʃlæmæk
işləmək	iʃlæmɑχ
işləmək	iʃtæmæj
işləmək	iʃtæmej
iştaha	iʃdɑhɑ
iştaha	iʃtɑhɑ
istedadlı	istedɑdɫɯ
istedadsız	istedɑdsɯz
istehsalçı	istehsɑɫtsɯ
istehsalçı	istehsɑɫtʃɯ
istehsal	istehsɑɫ
istəmək	istæmæj
istəmək	istæmæk
istəmək	istæmɑχ
istəmək	istæmej
iştibah	iʃtibɑh
istifadə	istifɑːdæ
isti	isːi
isti	isti
istilik	istiliç
istilik	istilik
istilik	istilitʃ
istilikölçən	istilijœltʃæn
istilikölçən	istilikœltʃæn
istilikölçən	istilitʃœltsæn
istiot	istiot
istiqamət	istigɑːmæt
istiqbal	istigbɑɫ
istiqbal	istiɣbɑɫ
istiqlal	istigɫɑɫ
istiqlaliyyət	istigɫɑːlijæt
istiqraz	istigrɑz
istirahət	istirɑːhæt
iştirak	iʃtirɑk
istismar	istismɑr
istisna	istisnɑ
isveçli	isvetsli
isveçli	isvetʃli
isveçrəli	isvetsræli
isveçrəli	isvetʃræli
işverən	iʃveræn
itaət	itɑæt
itaətsizlik	itɑætsizlik
itburnu	itburnu
itələmək	itælæmæj
itələmək	itælæmæk
itirmək	itirmæc
itirmək	itirmæj
itirmək	itirmɑχ
itirmək	itirmej
itkin	inkin
itmək	itmæj
itmək	itmæk
ivrit	ivrit
ixtilaf	ixtiɫɑf
ixtiraçı	ixtirɑːtsɯ
ixtiraçı	ixtirɑːtʃɯ
ixtira	ixtirɑ
ixtisar	iχtisɑr
iydə	ijdæ
iyirmi	igirmi
iyirmi	ijirmi
iyirminci	ijiɾmindʒi
iynə	ijnæ
izin	izin
izləmək	izlæmæj
izləmək	izlæmæk
izləmək	izlæmɑχ
izləmək	izlæmej
janr	ʒɑnr
jasmin	ʒɑsmin
jurnalist	ʒurnalist
jurnal	ʒurnɑɫ
kabab	cɑbɑb
kaftar	cɑftɑr
kaftar	tʃɑftɑr
kağız	cɑɣɯz
kağız	tʃɑɣɯz
kalan	cɑɫɑn
kal	cɑɫ
kamança	tʃɑmɑntsɑ
kanalizasiya	gɑnɑlizɑsijɑ
kanalizasiya	kɑnɑlizɑsijɑ
karp	kɑrp
karvansara	cɑrvɑnsɑrɑ
kasa	casa
kasa	tʃɑsɑ
kaş	cɑʃ
kaş	tʃɑʃ
katib	cɑːtib
katib	cɑːtɯb
katibə	cɑːtibæ
katibə	tʃaːtibæ
katib	tʃaːtib
katib	tʃaːtɯb
keçəl	ketʃæl
keçəllənmək	ketʃælːænmæj
keçəllənmək	ketʃælːænmæk
keçəllənmək	tʃetsælːænmætʃ
keçəl	tʃetsæl
keçən	cetʃæn
keçən	tʃetsæn
keçi	cetʃi
keçi	dʒetsi
keçinmək	cetʃinmæc
keçinmək	cetʃinmæj
keçinmək	tʃetsinmætʃ
keçi	tʃetsi
keçmək	cetʃmæc
keçmək	ɟeʃmɑx
kəfən	cæfæn
